Year,Week,Resort,Visitors,MaxTemp,MinTemp,Rainfall
2014,1,Mt. Baw Baw,555,4.957142857142857,1.1,24.4
2014,2,Mt. Baw Baw,804,5.485714285714286,0.8142857142857143,21.0
2014,3,Mt. Baw Baw,993,1.042857142857143,-1.8142857142857143,76.4
2014,4,Mt. Baw Baw,2976,2.5285714285714285,-0.9571428571428572,82.0
2014,5,Mt. Baw Baw,11112,0.6857142857142857,-2.257142857142857,82.6
2014,6,Mt. Baw Baw,13381,1.0142857142857142,-2.4285714285714284,57.599999999999994
2014,7,Mt. Baw Baw,8832,3.7857142857142856,0.014285714285714322,8.4
2014,8,Mt. Baw Baw,9347,1.6999999999999997,-2.1714285714285713,56.0
2014,9,Mt. Baw Baw,10071,2.1142857142857143,-2.0142857142857142,11.600000000000001
2014,10,Mt. Baw Baw,11071,3.542857142857143,-2.1142857142857143,23.2
2014,11,Mt. Baw Baw,10079,5.285714285714286,-0.05714285714285713,22.0
2014,12,Mt. Baw Baw,7635,8.257142857142856,1.8285714285714287,6.8
2014,13,Mt. Baw Baw,4681,5.814285714285715,-0.3142857142857142,40.6
2014,14,Mt. Baw Baw,1904,5.671428571428572,1.0142857142857145,34.4
2014,15,Mt. Baw Baw,0,4.728571428571429,-0.6428571428571429,51.8
2015,1,Mt. Baw Baw,3185,6.271428571428571,-3.172065784643304e-17,20.400000000000002
2015,2,Mt. Baw Baw,2058,2.8857142857142857,-0.9571428571428572,25.400000000000002
2015,3,Mt. Baw Baw,1745,6.242857142857143,-0.07142857142857142,0.7999999999999999
2015,4,Mt. Baw Baw,2751,1.0285714285714287,-2.0142857142857142,21.2
2015,5,Mt. Baw Baw,6748,1.5857142857142856,-1.5142857142857142,98.2
2015,6,Mt. Baw Baw,8269,0.2857142857142857,-3.6714285714285713,84.0
2015,7,Mt. Baw Baw,8219,0.9714285714285715,-1.7142857142857142,24.0
2015,8,Mt. Baw Baw,8600,-0.0285714285714286,-3.442857142857143,54.0
2015,9,Mt. Baw Baw,8932,0.8714285714285716,-3.185714285714286,81.0
2015,10,Mt. Baw Baw,10429,1.3142857142857143,-1.8714285714285717,20.0
2015,11,Mt. Baw Baw,10927,4.157142857142857,-0.6428571428571427,26.6
2015,12,Mt. Baw Baw,9027,1.3714285714285714,-2.6999999999999997,90.0
2015,13,Mt. Baw Baw,6236,3.7,-1.5571428571428572,8.2
2015,14,Mt. Baw Baw,4387,8.785714285714286,1.4714285714285713,25.6
2015,15,Mt. Baw Baw,2247,5.2,0.15714285714285722,24.6
2016,1,Mt. Baw Baw,1154,5.271428571428571,-0.32857142857142846,44.4
2016,2,Mt. Baw Baw,1298,4.4714285714285715,2.0,71.39999999999999
2016,3,Mt. Baw Baw,2306,-0.27142857142857146,-3.128571428571429,29.4
2016,4,Mt. Baw Baw,8796,1.557142857142857,-1.2428571428571427,70.4
2016,5,Mt. Baw Baw,7976,1.8857142857142857,-0.5714285714285714,68.2
2016,6,Mt. Baw Baw,6614,4.8999999999999995,-0.4857142857142857,10.8
2016,7,Mt. Baw Baw,5267,1.4285714285714286,-2.414285714285714,64.2
2016,8,Mt. Baw Baw,6394,1.8285714285714287,-1.2142857142857142,58.8
2016,9,Mt. Baw Baw,6676,1.9714285714285713,-1.9857142857142858,9.200000000000001
2016,10,Mt. Baw Baw,5593,4.0,-0.6857142857142858,8.8
2016,11,Mt. Baw Baw,3979,2.8285714285714287,-1.1285714285714286,35.400000000000006
2016,12,Mt. Baw Baw,3909,3.1999999999999997,-0.9142857142857144,27.200000000000003
2016,13,Mt. Baw Baw,1373,7.742857142857143,1.3714285714285714,41.2
2016,14,Mt. Baw Baw,0,5.585714285714286,2.1142857142857143,36.8
2016,15,Mt. Baw Baw,0,4.557142857142857,-0.9833333333333334,31.200000000000003
2017,1,Mt. Baw Baw,3569,6.814285714285715,1.4857142857142858,5.4
2017,2,Mt. Baw Baw,798,5.828571428571428,0.24285714285714288,4.2
2017,3,Mt. Baw Baw,846,0.14285714285714285,-2.4714285714285715,14.200000000000001
2017,4,Mt. Baw Baw,3486,1.8,-2.6999999999999997,42.8
2017,5,Mt. Baw Baw,5981,0.8142857142857143,-2.6571428571428575,7.6000000000000005
2017,6,Mt. Baw Baw,9132,1.0285714285714287,-2.1714285714285713,45.800000000000004
2017,7,Mt. Baw Baw,7286,2.185714285714286,-2.257142857142857,33.4
2017,8,Mt. Baw Baw,5799,3.6999999999999997,-1.6142857142857143,17.8
2017,9,Mt. Baw Baw,5331,1.8714285714285717,-1.5285714285714285,56.4
2017,10,Mt. Baw Baw,6311,3.457142857142857,-0.05714285714285715,47.2
2017,11,Mt. Baw Baw,5884,0.17142857142857146,-3.542857142857143,62.8
2017,12,Mt. Baw Baw,4921,0.35714285714285715,-4.257142857142857,30.4
2017,13,Mt. Baw Baw,4086,2.442857142857143,-1.842857142857143,38.6
2017,14,Mt. Baw Baw,5565,3.1,-1.2428571428571427,104.6
2017,15,Mt. Baw Baw,3409,4.828571428571428,-2.9857142857142853,63.8
2018,1,Mt. Baw Baw,2753,2.6142857142857143,-0.18571428571428572,22.8
2018,2,Mt. Baw Baw,2102,2.1999999999999997,-2.0166666666666666,178.2
2018,3,Mt. Baw Baw,5768,2.857142857142857,-1.0714285714285714,3.8
2018,4,Mt. Baw Baw,7058,3.6285714285714286,0.13333333333333328,14.2
2018,5,Mt. Baw Baw,11141,1.0285714285714287,-2.4714285714285715,66.6
2018,6,Mt. Baw Baw,18031,2.2666666666666666,-2.6999999999999997,11.4
2018,7,Mt. Baw Baw,8803,1.2857142857142858,-2.3666666666666667,15.8
2018,8,Mt. Baw Baw,7966,2.8714285714285714,-1.4142857142857144,24.8
2018,9,Mt. Baw Baw,8950,1.8142857142857143,-2.6,39.4
2018,10,Mt. Baw Baw,7621,1.6428571428571428,-2.1,30.0
2018,11,Mt. Baw Baw,6837,0.38571428571428573,-3.5799999999999996,67.8
2018,12,Mt. Baw Baw,10011,3.0142857142857147,-2.8714285714285714,13.4
2018,13,Mt. Baw Baw,6751,3.1,-1.4666666666666668,36.599999999999994
2018,14,Mt. Baw Baw,5793,7.885714285714286,0.18571428571428564,2.6
2018,15,Mt. Baw Baw,4064,3.4285714285714284,-2.0571428571428574,36.0
2019,1,Mt. Baw Baw,6393,6.466666666666666,1.6666666666666667,15.200000000000001
