,Year,Week,Resort,Visitors,MaxTemp,MinTemp,Rainfall,Total Snowfall,Snowfall Days,Average Base Depth,Max Base Depth,Biggest Snowfall
0,2014,1,Mt. Baw Baw,555,4.957142857142857,1.1,24.4,39.0,9.0,9.0,23.0,9.0
1,2014,2,Mt. Baw Baw,804,5.485714285714286,0.8142857142857143,21.0,39.0,9.0,9.0,23.0,9.0
2,2014,3,Mt. Baw Baw,993,1.042857142857143,-1.8142857142857145,76.4,39.0,9.0,9.0,23.0,9.0
3,2014,4,Mt. Baw Baw,2976,2.5285714285714285,-0.9571428571428572,82.0,39.0,9.0,9.0,23.0,9.0
4,2014,5,Mt. Baw Baw,11112,0.6857142857142857,-2.257142857142857,82.6,39.0,9.0,9.0,23.0,9.0
5,2014,6,Mt. Baw Baw,13381,1.0142857142857142,-2.4285714285714284,57.6,39.0,9.0,9.0,23.0,9.0
6,2014,7,Mt. Baw Baw,8832,3.7857142857142856,0.0142857142857143,8.4,39.0,9.0,9.0,23.0,9.0
7,2014,8,Mt. Baw Baw,9347,1.6999999999999995,-2.1714285714285717,56.0,39.0,9.0,9.0,23.0,9.0
8,2014,9,Mt. Baw Baw,10071,2.1142857142857143,-2.0142857142857142,11.6,39.0,9.0,9.0,23.0,9.0
9,2014,10,Mt. Baw Baw,11071,3.542857142857143,-2.1142857142857143,23.2,39.0,9.0,9.0,23.0,9.0
10,2014,11,Mt. Baw Baw,10079,5.285714285714286,-0.0571428571428571,22.0,39.0,9.0,9.0,23.0,9.0
11,2014,12,Mt. Baw Baw,7635,8.257142857142856,1.8285714285714287,6.8,39.0,9.0,9.0,23.0,9.0
12,2014,13,Mt. Baw Baw,4681,5.814285714285715,-0.3142857142857142,40.6,39.0,9.0,9.0,23.0,9.0
13,2014,14,Mt. Baw Baw,1904,5.671428571428572,1.0142857142857145,34.4,39.0,9.0,9.0,23.0,9.0
14,2014,15,Mt. Baw Baw,0,4.728571428571429,-0.6428571428571429,51.8,39.0,9.0,9.0,23.0,9.0
15,2015,1,Mt. Baw Baw,3185,6.271428571428571,-3.1720657846433036e-17,20.4,39.0,16.0,20.0,37.0,6.0
16,2015,2,Mt. Baw Baw,2058,2.8857142857142857,-0.9571428571428572,25.4,39.0,16.0,20.0,37.0,6.0
17,2015,3,Mt. Baw Baw,1745,6.242857142857143,-0.0714285714285714,0.7999999999999999,39.0,16.0,20.0,37.0,6.0
18,2015,4,Mt. Baw Baw,2751,1.0285714285714287,-2.0142857142857142,21.2,39.0,16.0,20.0,37.0,6.0
19,2015,5,Mt. Baw Baw,6748,1.5857142857142856,-1.5142857142857142,98.2,39.0,16.0,20.0,37.0,6.0
20,2015,6,Mt. Baw Baw,8269,0.2857142857142857,-3.6714285714285713,84.0,39.0,16.0,20.0,37.0,6.0
21,2015,7,Mt. Baw Baw,8219,0.9714285714285716,-1.7142857142857142,24.0,39.0,16.0,20.0,37.0,6.0
22,2015,8,Mt. Baw Baw,8600,-0.0285714285714286,-3.442857142857143,54.0,39.0,16.0,20.0,37.0,6.0
23,2015,9,Mt. Baw Baw,8932,0.8714285714285716,-3.185714285714286,81.0,39.0,16.0,20.0,37.0,6.0
24,2015,10,Mt. Baw Baw,10429,1.3142857142857145,-1.871428571428572,20.0,39.0,16.0,20.0,37.0,6.0
25,2015,11,Mt. Baw Baw,10927,4.157142857142857,-0.6428571428571427,26.6,39.0,16.0,20.0,37.0,6.0
26,2015,12,Mt. Baw Baw,9027,1.3714285714285714,-2.7,90.0,39.0,16.0,20.0,37.0,6.0
27,2015,13,Mt. Baw Baw,6236,3.7,-1.5571428571428572,8.2,39.0,16.0,20.0,37.0,6.0
28,2015,14,Mt. Baw Baw,4387,8.785714285714286,1.4714285714285713,25.6,39.0,16.0,20.0,37.0,6.0
29,2015,15,Mt. Baw Baw,2247,5.2,0.1571428571428572,24.6,39.0,16.0,20.0,37.0,6.0
30,2016,1,Mt. Baw Baw,1154,5.271428571428571,-0.3285714285714284,44.4,31.0,14.0,4.0,18.0,7.0
31,2016,2,Mt. Baw Baw,1298,4.471428571428572,2.0,71.39999999999999,31.0,14.0,4.0,18.0,7.0
32,2016,3,Mt. Baw Baw,2306,-0.2714285714285714,-3.128571428571429,29.4,31.0,14.0,4.0,18.0,7.0
33,2016,4,Mt. Baw Baw,8796,1.557142857142857,-1.2428571428571429,70.4,31.0,14.0,4.0,18.0,7.0
34,2016,5,Mt. Baw Baw,7976,1.8857142857142857,-0.5714285714285714,68.2,31.0,14.0,4.0,18.0,7.0
35,2016,6,Mt. Baw Baw,6614,4.9,-0.4857142857142857,10.8,31.0,14.0,4.0,18.0,7.0
36,2016,7,Mt. Baw Baw,5267,1.4285714285714286,-2.414285714285714,64.2,31.0,14.0,4.0,18.0,7.0
37,2016,8,Mt. Baw Baw,6394,1.8285714285714287,-1.2142857142857142,58.8,31.0,14.0,4.0,18.0,7.0
38,2016,9,Mt. Baw Baw,6676,1.9714285714285715,-1.9857142857142855,9.2,31.0,14.0,4.0,18.0,7.0
39,2016,10,Mt. Baw Baw,5593,4.0,-0.6857142857142858,8.8,31.0,14.0,4.0,18.0,7.0
40,2016,11,Mt. Baw Baw,3979,2.8285714285714287,-1.1285714285714286,35.400000000000006,31.0,14.0,4.0,18.0,7.0
41,2016,12,Mt. Baw Baw,3909,3.2,-0.9142857142857144,27.200000000000003,31.0,14.0,4.0,18.0,7.0
42,2016,13,Mt. Baw Baw,1373,7.742857142857143,1.3714285714285714,41.2,31.0,14.0,4.0,18.0,7.0
43,2016,14,Mt. Baw Baw,0,5.585714285714286,2.1142857142857143,36.8,31.0,14.0,4.0,18.0,7.0
44,2016,15,Mt. Baw Baw,0,4.557142857142857,-0.9833333333333334,31.200000000000003,31.0,14.0,4.0,18.0,7.0
45,2017,1,Mt. Baw Baw,3569,6.814285714285715,1.4857142857142858,5.4,0.4,1.0,14.0,28.0,0.4
46,2017,2,Mt. Baw Baw,798,5.828571428571428,0.2428571428571428,4.2,0.4,1.0,14.0,28.0,0.4
47,2017,3,Mt. Baw Baw,846,0.1428571428571428,-2.4714285714285715,14.2,0.4,1.0,14.0,28.0,0.4
48,2017,4,Mt. Baw Baw,3486,1.8,-2.7,42.8,0.4,1.0,14.0,28.0,0.4
49,2017,5,Mt. Baw Baw,5981,0.8142857142857143,-2.657142857142857,7.6,0.4,1.0,14.0,28.0,0.4
50,2017,6,Mt. Baw Baw,9132,1.0285714285714287,-2.1714285714285717,45.8,0.4,1.0,14.0,28.0,0.4
51,2017,7,Mt. Baw Baw,7286,2.185714285714286,-2.257142857142857,33.4,0.4,1.0,14.0,28.0,0.4
52,2017,8,Mt. Baw Baw,5799,3.7,-1.6142857142857143,17.8,0.4,1.0,14.0,28.0,0.4
53,2017,9,Mt. Baw Baw,5331,1.871428571428572,-1.5285714285714285,56.4,0.4,1.0,14.0,28.0,0.4
54,2017,10,Mt. Baw Baw,6311,3.457142857142857,-0.0571428571428571,47.2,0.4,1.0,14.0,28.0,0.4
55,2017,11,Mt. Baw Baw,5884,0.1714285714285714,-3.542857142857143,62.8,0.4,1.0,14.0,28.0,0.4
56,2017,12,Mt. Baw Baw,4921,0.3571428571428571,-4.257142857142857,30.4,0.4,1.0,14.0,28.0,0.4
57,2017,13,Mt. Baw Baw,4086,2.442857142857143,-1.842857142857143,38.6,0.4,1.0,14.0,28.0,0.4
58,2017,14,Mt. Baw Baw,5565,3.1,-1.2428571428571429,104.6,0.4,1.0,14.0,28.0,0.4
59,2017,15,Mt. Baw Baw,3409,4.828571428571428,-2.9857142857142853,63.8,0.4,1.0,14.0,28.0,0.4
60,2018,1,Mt. Baw Baw,2753,2.6142857142857143,-0.1857142857142857,22.8,13.0,4.0,14.0,26.0,8.0
61,2018,2,Mt. Baw Baw,2102,2.2,-2.0166666666666666,178.2,13.0,4.0,14.0,26.0,8.0
62,2018,3,Mt. Baw Baw,5768,2.857142857142857,-1.0714285714285714,3.8,13.0,4.0,14.0,26.0,8.0
63,2018,4,Mt. Baw Baw,7058,3.628571428571429,0.1333333333333332,14.2,13.0,4.0,14.0,26.0,8.0
64,2018,5,Mt. Baw Baw,11141,1.0285714285714287,-2.4714285714285715,66.6,13.0,4.0,14.0,26.0,8.0
65,2018,6,Mt. Baw Baw,18031,2.2666666666666666,-2.7,11.4,13.0,4.0,14.0,26.0,8.0
66,2018,7,Mt. Baw Baw,8803,1.2857142857142858,-2.3666666666666667,15.8,13.0,4.0,14.0,26.0,8.0
67,2018,8,Mt. Baw Baw,7966,2.8714285714285714,-1.4142857142857144,24.8,13.0,4.0,14.0,26.0,8.0
68,2018,9,Mt. Baw Baw,8950,1.8142857142857145,-2.6,39.4,13.0,4.0,14.0,26.0,8.0
69,2018,10,Mt. Baw Baw,7621,1.6428571428571428,-2.1,30.0,13.0,4.0,14.0,26.0,8.0
70,2018,11,Mt. Baw Baw,6837,0.3857142857142857,-3.58,67.8,13.0,4.0,14.0,26.0,8.0
71,2018,12,Mt. Baw Baw,10011,3.0142857142857147,-2.8714285714285714,13.4,13.0,4.0,14.0,26.0,8.0
72,2018,13,Mt. Baw Baw,6751,3.1,-1.4666666666666668,36.6,13.0,4.0,14.0,26.0,8.0
73,2018,14,Mt. Baw Baw,5793,7.885714285714286,0.1857142857142856,2.6,13.0,4.0,14.0,26.0,8.0
