Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Minimum temperature (Degree C),Rainfall amount (millimetres)
71075,2010,1,1,,,
71075,2010,1,2,,,
71075,2010,1,3,,,
71075,2010,1,4,,,
71075,2010,1,5,,,
71075,2010,1,6,,,
71075,2010,1,7,,,
71075,2010,1,8,,,
71075,2010,1,9,,,
71075,2010,1,10,,,
71075,2010,1,11,,,
71075,2010,1,12,,,
71075,2010,1,13,,,
71075,2010,1,14,,,
71075,2010,1,15,,,
71075,2010,1,16,,,
71075,2010,1,17,,,
71075,2010,1,18,,,
71075,2010,1,19,,,
71075,2010,1,20,,,
71075,2010,1,21,,,
71075,2010,1,22,,,
71075,2010,1,23,,,
71075,2010,1,24,,,
71075,2010,1,25,,,
71075,2010,1,26,,,
71075,2010,1,27,,,
71075,2010,1,28,,,
71075,2010,1,29,,,
71075,2010,1,30,,,
71075,2010,1,31,,,
71075,2010,2,1,,,
71075,2010,2,2,,,
71075,2010,2,3,,,
71075,2010,2,4,,,
71075,2010,2,5,,,
71075,2010,2,6,,,
71075,2010,2,7,,,
71075,2010,2,8,,,
71075,2010,2,9,,,
71075,2010,2,10,,,
71075,2010,2,11,,,
71075,2010,2,12,,,
71075,2010,2,13,,,
71075,2010,2,14,,,
71075,2010,2,15,,,
71075,2010,2,16,,,
71075,2010,2,17,,,
71075,2010,2,18,,,
71075,2010,2,19,,,
71075,2010,2,20,,,
71075,2010,2,21,,,
71075,2010,2,22,,,
71075,2010,2,23,,,
71075,2010,2,24,,,
71075,2010,2,25,,,
71075,2010,2,26,,,
71075,2010,2,27,,,
71075,2010,2,28,,,
71075,2010,3,1,,,
71075,2010,3,2,,,
71075,2010,3,3,,,
71075,2010,3,4,,,
71075,2010,3,5,,,
71075,2010,3,6,,,
71075,2010,3,7,,,
71075,2010,3,8,,,
71075,2010,3,9,,,
71075,2010,3,10,,,
71075,2010,3,11,,,
71075,2010,3,12,,,
71075,2010,3,13,,,
71075,2010,3,14,,,
71075,2010,3,15,,,
71075,2010,3,16,,,
71075,2010,3,17,,,
71075,2010,3,18,,,
71075,2010,3,19,,,
71075,2010,3,20,,,
71075,2010,3,21,,,
71075,2010,3,22,,,
71075,2010,3,23,,,
71075,2010,3,24,,,
71075,2010,3,25,,,
71075,2010,3,26,,,
71075,2010,3,27,,,
71075,2010,3,28,,,
71075,2010,3,29,,,
71075,2010,3,30,,,
71075,2010,3,31,,,
71075,2010,4,1,,,
71075,2010,4,2,,,
71075,2010,4,3,,,
71075,2010,4,4,,,
71075,2010,4,5,,,
71075,2010,4,6,,,
71075,2010,4,7,,,
71075,2010,4,8,,,
71075,2010,4,9,,,
71075,2010,4,10,,,
71075,2010,4,11,,,
71075,2010,4,12,,,
71075,2010,4,13,,,
71075,2010,4,14,,,
71075,2010,4,15,,,
71075,2010,4,16,,,
71075,2010,4,17,,,
71075,2010,4,18,,,
71075,2010,4,19,,,
71075,2010,4,20,,,
71075,2010,4,21,,,
71075,2010,4,22,,,
71075,2010,4,23,,,
71075,2010,4,24,,,
71075,2010,4,25,,,
71075,2010,4,26,,,
71075,2010,4,27,,,
71075,2010,4,28,,,
71075,2010,4,29,,,
71075,2010,4,30,,,
71075,2010,5,1,,,
71075,2010,5,2,,,
71075,2010,5,3,,,
71075,2010,5,4,,,
71075,2010,5,5,,,
71075,2010,5,6,,,
71075,2010,5,7,,,
71075,2010,5,8,,,
71075,2010,5,9,,,
71075,2010,5,10,,,
71075,2010,5,11,,,
71075,2010,5,12,,,
71075,2010,5,13,,,
71075,2010,5,14,,,
71075,2010,5,15,,,
71075,2010,5,16,,,
71075,2010,5,17,,,
71075,2010,5,18,,,
71075,2010,5,19,,,
71075,2010,5,20,,,
71075,2010,5,21,,,
71075,2010,5,22,,,
71075,2010,5,23,,,
71075,2010,5,24,,,
71075,2010,5,25,5.1,,
71075,2010,5,26,3,2.1,34.6
71075,2010,5,27,8.5,-1.7,2.2
71075,2010,5,28,7.1,-0.3,0.2
71075,2010,5,29,6,2.5,8.4
71075,2010,5,30,4.7,-0.2,52.2
71075,2010,5,31,3.5,1.2,90.4
71075,2010,6,1,7.6,-4.7,0.8
71075,2010,6,2,6.8,-4.2,0
71075,2010,6,3,8.8,-3.8,0
71075,2010,6,4,9.8,-2.4,0
71075,2010,6,5,8.5,-4.7,0
71075,2010,6,6,2.5,-2.2,0.2
71075,2010,6,7,4.9,-7.6,1.4
71075,2010,6,8,-0.1,-2.6,0
71075,2010,6,9,-2.3,-3.8,0
71075,2010,6,10,2.2,-4.6,12.4
71075,2010,6,11,2,-2.9,0
71075,2010,6,12,3.5,-6,0.2
71075,2010,6,13,8.3,-10.3,0
71075,2010,6,14,7.1,-10.8,0
71075,2010,6,15,2.4,-6,0
71075,2010,6,16,4.6,0.7,0
71075,2010,6,17,2,0.9,58
71075,2010,6,18,1.1,-3,37.6
71075,2010,6,19,2.3,-2.6,9.6
71075,2010,6,20,3,-0.4,0.8
71075,2010,6,21,4.4,-3.9,0
71075,2010,6,22,4.4,-7,0
71075,2010,6,23,4.9,-2.4,0
71075,2010,6,24,5.3,-0.7,0
71075,2010,6,25,4.2,-0.4,0.2
71075,2010,6,26,3.6,-0.4,35.6
71075,2010,6,27,0.9,-8.6,0.8
71075,2010,6,28,1.8,-11.1,0
71075,2010,6,29,4.8,-7.3,0
71075,2010,6,30,-2.1,-6.4,0
71075,2010,7,1,-0.1,-4.5,1.6
71075,2010,7,2,0,-9.1,0
71075,2010,7,3,2.2,-6.4,0
71075,2010,7,4,5.3,-7.5,0
71075,2010,7,5,4.2,-7.2,0
71075,2010,7,6,4.6,-5.7,1.4
71075,2010,7,7,4.8,-7.7,0
71075,2010,7,8,5.3,-9.2,0
71075,2010,7,9,7,-7.3,0
71075,2010,7,10,4.4,-4,0
71075,2010,7,11,2.5,2.3,37.8
71075,2010,7,12,7.4,-6.1,2.4
71075,2010,7,13,6.5,-4.8,0
71075,2010,7,14,-0.9,-2,81
71075,2010,7,15,0,-3.9,29.6
71075,2010,7,16,4.8,-5.7,0.8
71075,2010,7,17,3.5,-8.5,1.6
71075,2010,7,18,-1.1,-4.7,0
71075,2010,7,19,1.5,-2.9,0.2
71075,2010,7,20,5.4,-11.4,1.2
71075,2010,7,21,3.8,-11,0
71075,2010,7,22,3.4,-6.1,0
71075,2010,7,23,6.9,-2.4,0.8
71075,2010,7,24,4.2,-4.3,0
71075,2010,7,25,5,-5.5,0
71075,2010,7,26,5.2,-6.6,0.2
71075,2010,7,27,7.1,-8,0
71075,2010,7,28,6.4,-6.6,0
71075,2010,7,29,4.1,-1.7,1
71075,2010,7,30,4.4,0.5,4
71075,2010,7,31,1.6,1.2,3
71075,2010,8,1,-0.3,-1.6,26.2
71075,2010,8,2,0.4,-4.5,43.4
71075,2010,8,3,3.6,-2.3,21.6
71075,2010,8,4,2,-4.9,0
71075,2010,8,5,-0.3,-4.6,0.4
71075,2010,8,6,0.6,-4.9,0.4
71075,2010,8,7,2,-10.2,0
71075,2010,8,8,5.3,-9.5,0
71075,2010,8,9,6.2,-7.3,0
