Station,Year,Month,Day,MaxTemp,MinTemp,Rainfall,Date,Week
71075,2014,6,9,3.4,-1.8,6.6,2014-06-09,1.0
71075,2014,6,10,8.1,-5.0,3.8,2014-06-10,1.0
71075,2014,6,11,13.4,-5.1,0.0,2014-06-11,1.0
71075,2014,6,12,8.2,-0.6,0.0,2014-06-12,1.0
71075,2014,6,13,4.7,2.1,0.0,2014-06-13,1.0
71075,2014,6,14,3.9,-0.4,14.0,2014-06-14,1.0
71075,2014,6,15,2.6,-0.3,37.6,2014-06-15,1.0
71075,2014,6,16,1.5,-3.3,0.4,2014-06-16,2.0
71075,2014,6,17,6.1,-1.7,13.2,2014-06-17,2.0
71075,2014,6,18,8.8,-3.0,0.0,2014-06-18,2.0
71075,2014,6,19,5.8,-3.8,0.0,2014-06-19,2.0
71075,2014,6,20,2.7,1.6,0.0,2014-06-20,2.0
71075,2014,6,21,3.9,0.2,0.0,2014-06-21,2.0
71075,2014,6,22,8.0,-3.0,0.2,2014-06-22,2.0
71075,2014,6,23,2.4,-1.6,0.0,2014-06-23,3.0
71075,2014,6,24,-0.3,-5.0,54.0,2014-06-24,3.0
71075,2014,6,25,1.4,-4.1,49.4,2014-06-25,3.0
71075,2014,6,26,1.4,-1.3,66.8,2014-06-26,3.0
71075,2014,6,27,1.8,-0.5,5.6,2014-06-27,3.0
71075,2014,6,28,0.4,-1.2,6.8,2014-06-28,3.0
71075,2014,6,29,-0.9,-3.5,38.0,2014-06-29,3.0
71075,2014,6,30,0.8,-5.2,26.8,2014-06-30,4.0
71075,2014,7,1,4.1,-4.0,0.4,2014-07-01,4.0
71075,2014,7,2,6.6,-2.8,0.8,2014-07-02,4.0
71075,2014,7,3,7.0,-1.4,0.0,2014-07-03,4.0
71075,2014,7,4,0.5,-1.1,0.0,2014-07-04,4.0
71075,2014,7,5,0.1,-1.5,10.4,2014-07-05,4.0
71075,2014,7,6,1.5,-1.2,15.4,2014-07-06,4.0
71075,2014,7,7,4.5,-2.5,0.4,2014-07-07,5.0
71075,2014,7,8,1.5,-3.0,0.0,2014-07-08,5.0
71075,2014,7,9,-0.9,-3.3,0.2,2014-07-09,5.0
71075,2014,7,10,0.1,-3.9,25.4,2014-07-10,5.0
71075,2014,7,11,0.5,-3.6,2.8,2014-07-11,5.0
71075,2014,7,12,0.1,-2.7,5.8,2014-07-12,5.0
71075,2014,7,13,2.5,-7.3,4.4,2014-07-13,5.0
71075,2014,7,14,5.8,-8.0,0.0,2014-07-14,6.0
71075,2014,7,15,1.7,-3.0,0.0,2014-07-15,6.0
71075,2014,7,16,0.3,-0.2,14.4,2014-07-16,6.0
71075,2014,7,17,-0.7,-1.1,16.6,2014-07-17,6.0
71075,2014,7,18,-0.6,-5.9,20.4,2014-07-18,6.0
71075,2014,7,19,0.9,-6.3,0.0,2014-07-19,6.0
71075,2014,7,20,5.1,-6.0,0.0,2014-07-20,6.0
71075,2014,7,21,5.5,-8.4,0.0,2014-07-21,7.0
71075,2014,7,22,6.8,-7.5,0.0,2014-07-22,7.0
71075,2014,7,23,8.3,-8.2,0.0,2014-07-23,7.0
71075,2014,7,24,3.5,-6.4,0.0,2014-07-24,7.0
71075,2014,7,25,3.4,1.0,2.0,2014-07-25,7.0
71075,2014,7,26,2.4,0.4,1.6,2014-07-26,7.0
71075,2014,7,27,5.7,-1.4,1.4,2014-07-27,7.0
71075,2014,7,28,3.7,-1.5,0.0,2014-07-28,8.0
71075,2014,7,29,3.0,0.5,0.0,2014-07-29,8.0
71075,2014,7,30,3.3,1.1,16.2,2014-07-30,8.0
71075,2014,7,31,5.1,2.3,13.6,2014-07-31,8.0
71075,2014,8,1,-3.9,-6.2,17.0,2014-08-01,8.0
71075,2014,8,2,-0.5,-8.8,11.4,2014-08-02,8.0
71075,2014,8,3,1.7,-13.0,0.0,2014-08-03,8.0
71075,2014,8,4,2.8,-11.2,0.0,2014-08-04,9.0
71075,2014,8,5,7.1,-7.9,0.0,2014-08-05,9.0
71075,2014,8,6,6.3,-5.5,0.0,2014-08-06,9.0
71075,2014,8,7,5.8,-5.2,0.0,2014-08-07,9.0
71075,2014,8,8,7.0,-4.1,0.0,2014-08-08,9.0
71075,2014,8,9,7.1,-3.5,0.0,2014-08-09,9.0
71075,2014,8,10,0.3,-1.4,2.6,2014-08-10,9.0
71075,2014,8,11,-1.6,-7.5,3.4,2014-08-11,10.0
71075,2014,8,12,4.1,-11.3,0.0,2014-08-12,10.0
71075,2014,8,13,4.1,-12.2,0.0,2014-08-13,10.0
71075,2014,8,14,7.1,-7.5,0.0,2014-08-14,10.0
71075,2014,8,15,7.5,-7.8,0.0,2014-08-15,10.0
71075,2014,8,16,5.5,-6.7,0.0,2014-08-16,10.0
71075,2014,8,17,1.6,-2.7,7.4,2014-08-17,10.0
71075,2014,8,18,2.1,-0.2,57.6,2014-08-18,11.0
71075,2014,8,19,3.7,-0.1,9.0,2014-08-19,11.0
71075,2014,8,20,6.7,-7.2,1.2,2014-08-20,11.0
71075,2014,8,21,4.8,-7.7,0.0,2014-08-21,11.0
71075,2014,8,22,8.4,-3.4,0.6,2014-08-22,11.0
71075,2014,8,23,8.7,-4.7,0.0,2014-08-23,11.0
71075,2014,8,24,5.0,0.5,0.0,2014-08-24,11.0
71075,2014,8,25,4.5,-3.5,6.8,2014-08-25,12.0
71075,2014,8,26,2.8,-0.3,16.0,2014-08-26,12.0
