
Year,Total Snowfall,Snowfall Days,Average Base Depth,Max Base Depth,Biggest Snowfall
2012 - 2013,"40""",10 days,"38""","46""","12"""
2013 - 2014,"4""",2 days,"35""","72""","3"""
2014 - 2015,"77""",11 days,"53""","66""","20"""
2015 - 2016,"115""",31 days,"36""","58""","12"""
2016 - 2017,"130""",35 days,"43""","62""","16"""
2017 - 2018,"126""",12 days,"52""","94""","28"""
2018 - 2019,"88""",22 days,"30""","31""","14"""
2019 - 2020,"69""",12 days,"54""","89""","30"""
2020 - 2021,"7""",2 days,,"0""","6"""
2021 - 2022,"50""",14 days,,"0""","16"""
2022 - 2023,"77""",19 days,,"0""","14"""
2023 - 2024,"100""",25 days,,"0""","22"""
2024 - 2025,"54""",17 days,,"0""","10"""
2025 - To Date,"22""",8 days,,"11""","8"""
