
Year,Total Snowfall,Snowfall Days,Average Base Depth,Max Base Depth,Biggest Snowfall
2012 - 2013,"35""",12 days,"5""","10""","8"""
2013 - 2014,"0""",0 days,"4""","4""","0"""
2014 - 2015,"39""",9 days,"9""","23""","9"""
2015 - 2016,"39""",16 days,"20""","37""","6"""
2016 - 2017,"31""",14 days,"4""","18""","7"""
2017 - 2018,"0.4""",1 days,"14""","28""","0.4"""
2018 - 2019,"13""",4 days,"14""","26""","8"""
2019 - 2020,"21""",13 days,"20""","39""","7"""
2020 - 2021,"13""",2 days,,"0""","8"""
2021 - 2022,"41""",15 days,"16""","22""","14"""
2022 - 2023,"37""",17 days,"9""","19""","5"""
2023 - 2024,"37""",15 days,,"0""","10"""
2024 - 2025,"28""",13 days,,"0""","8"""
2025 - To Date,"18""",8 days,,"0""","6"""
