Year,Total Snowfall,Snowfall Days,Average Base Depth,Max Base Depth,Biggest Snowfall
2012 - 2013,"68""",13 days,"33""","47""","12"""
2013 - 2014,"0""",0 days,"17""","56""","0"""
2014 - 2015,"69""",20 days,"31""","42""","16"""
2015 - 2016,"48""",30 days,"34""","57""","6"""
2016 - 2017,"80""",22 days,"33""","48""","12"""
2017 - 2018,"75""",27 days,"42""","79""","10"""
2018 - 2019,"79""",25 days,"50""","85""","9"""
2019 - 2020,"63""",18 days,"27""","43""","11"""
2021 - 2022,"61""",25 days,,"12""","8"""
2022 - 2023,"99""",34 days,"25""","34""","20"""
2023 - 2024,"77""",28 days,"19""","35""","11"""
2024 - 2025,"52""",18 days,"13""","21""","12"""
2025 - To Date,"38""",12 days,"32""","57""","11"""
