Year,Total Snowfall,Snowfall Days,Average Base Depth,Max Base Depth,Biggest Snowfall
2012 - 2013,"86""",14 days,"35""","47""","12"""
2013 - 2014,"3""",3 days,"34""","73""","1"""
2014 - 2015,"104""",14 days,"49""","66""","28"""
2015 - 2016,"79""",29 days,"35""","58""","12"""
2016 - 2017,"144""",26 days,"46""","62""","19"""
2017 - 2018,"78""",23 days,"49""","94""","16"""
2018 - 2019,"88""",22 days,"52""","88""","12"""
2019 - 2020,"67""",12 days,"50""","89""","13"""
2020 - 2021,"11""",3 days,,"0""","6"""
2021 - 2022,"94""",23 days,,"0""","20"""
2022 - 2023,"98""",29 days,"29""","35""","12"""
2023 - 2024,"83""",25 days,"20""","24""","12"""
2024 - 2025,"55""",20 days,"11""","24""","10"""
2025 - To Date,"31""",10 days,,"20""","8"""
