Year,Total Snowfall,Snowfall Days,Average Base Depth,Max Base Depth,Biggest Snowfall
2012 - 2013,"94""",12 days,"18""","33""","20"""
2013 - 2014,"104""",26 days,"8""","24""","14"""
2014 - 2015,"75""",14 days,"52""","66""","20"""
2015 - 2016,"63""",27 days,"34""","58""","12"""
2016 - 2017,"119""",17 days,"44""","71""","28"""
2017 - 2018,"98""",21 days,"44""","94""","28"""
2018 - 2019,"78""",18 days,"57""","88""","13"""
2019 - 2020,"80""",15 days,"38""","55""","24"""
2020 - 2021,"10""",4 days,"4""","4""","6"""
2021 - 2022,"93""",17 days,,"0""","16"""
2022 - 2023,"84""",26 days,"27""","33""","11"""
2023 - 2024,"65""",24 days,"16""","20""","14"""
2024 - 2025,"52""",16 days,"14""","20""","13"""
2025 - To Date,"14""",7 days,"19""","22""","4"""
