Week,Mt. Baw Baw,Mt. Stirling,Mt. Hotham,Falls Creek,Mt. Buller,Selwyn,Thredbo,Perisher,Charlotte Pass
week1,3381,3948,5139,5357,3948,3437,5376,6574,6545
week2,3381,3948,5139,5357,3948,3437,5376,6574,6545
week3,3381,3948,5139,6341,3948,3437,5376,6574,6870
week4,3381,5684,5139,7817,5684,4616,6902,8074,6870
week5,3556,5684,6414,7817,5684,4616,6902,8074,6870
week6,3556,5684,6414,7817,5684,4616,6902,8074,6870
week7,3556,5684,6414,7817,5684,4616,6902,8074,6870
week8,3556,5684,6414,7817,5684,4616,6902,8074,6870
week9,3556,5684,6414,7817,5684,4616,6902,8074,6870
week10,3556,5684,6414,7817,5684,4616,6902,8074,6870
week11,3556,5684,6414,7817,5684,4616,6902,6574,6870
week12,3381,3948,6414,6341,3948,3437,5376,6574,6545
week13,3381,3948,5139,5357,3948,3437,5376,6574,6545
week14,3381,3948,5139,5357,3948,3437,5376,6574,6545
week15,3381,3948,5139,5357,3948,3437,5376,6574,6545
