Year,Week,Mt. Baw Baw,Mt. Stirling,Mt. Hotham,Falls Creek,Mt. Buller,Selwyn,Thredbo,Perisher,Charlotte Pass
2014,1,555,60,3483,2790,8296,1041,5535,7370,408
2014,2,804,42,1253,1425,1987,383,2090,2751,151
2014,3,993,30,2992,2101,2413,597,3216,4255,230
2014,4,2976,165,9680,9544,18831,2877,15497,20265,1134
2014,5,11112,645,29628,26211,49217,8588,46546,61339,3403
2014,6,13381,1316,36665,33392,59693,10682,58668,76855,4305
2014,7,8832,684,26465,28149,45788,8180,44109,57593,3236
2014,8,9347,1250,21679,24565,41720,7267,39654,52426,2901
2014,9,10071,1280,31019,28981,48984,8708,46875,62654,3391
2014,10,11071,1653,30360,33125,47315,9133,48777,64928,3549
2014,11,10079,902,35923,36486,43314,8968,49003,64834,3608
2014,12,7635,847,32657,34468,41063,8404,44164,59121,3258
2014,13,4681,522,28855,30104,41063,6975,38470,50737,2837
2014,14,1904,267,18708,23864,26222,4628,25734,33833,1898
2014,15,0,66,11117,15869,11881,2566,13890,18381,995
2015,1,3185,39,4997,4799,15612,2238,12039,15906,892
2015,2,2058,63,1797,3293,6592,1001,5540,7363,405
2015,3,1745,51,3605,5965,6648,1331,7069,9360,501
2015,4,2751,27,13197,11758,18766,3211,17634,23296,1303
2015,5,6748,69,22318,20779,38879,6658,35918,47607,2645
2015,6,8269,240,27894,24064,45629,8112,43234,57282,3211
2015,7,8219,714,22620,27566,38873,7373,40967,54202,2996
2015,8,8600,558,17562,25955,36714,6601,36200,48170,2661
2015,9,8932,1218,27850,31872,38171,7983,43268,57548,3148
2015,10,10429,1371,31159,35417,41782,9023,48525,64346,3473
2015,11,10927,1146,35122,37063,44060,9492,51900,68527,3719
2015,12,9027,744,30754,36903,38823,8436,46015,60788,3358
2015,13,6236,618,25367,33126,38042,7256,39850,52337,2909
2015,14,4387,429,30754,28099,23919,6011,33284,43826,2403
2015,15,2247,249,12005,18548,21892,3722,20568,27009,1492
2016,1,1154,39,4590,3840,8368,1329,7167,9419,531
2016,2,1298,36,1860,2176,5298,764,4083,5380,301
2016,3,2306,186,8368,10297,17606,2903,15501,20567,1096
2016,4,8796,480,17433,23077,37586,6868,36917,49193,2705
2016,5,7976,711,21302,33309,56664,9151,48170,64386,3570
2016,6,6614,840,25173,38818,44445,8336,45940,61295,3316
2016,7,5267,694,20774,30873,37928,6817,37172,48984,2689
2016,8,6394,1326,19557,36692,39125,7706,41911,55233,3038
2016,9,6676,1122,27232,40090,46055,8763,47536,63067,3384
2016,10,5593,1149,28044,43213,44706,8848,47996,62748,3549
2016,11,3979,708,31774,43213,38065,8235,43729,57827,3259
2016,12,3909,735,28211,43275,34449,7678,41768,54481,2951
2016,13,1373,198,20295,33724,21929,5307,28580,37561,2070
2016,14,0,102,14224,24144,13075,3453,18938,24737,1385
2016,15,0,87,10134,19696,7411,2599,13868,18080,979
2017,1,3569,96,6288,5663,18142,2569,14174,18739,1030
2017,2,798,33,2644,3577,9023,1236,6636,8792,478
2017,3,846,72,5756,7935,13836,2180,11543,15236,842
2017,4,3486,132,17281,16182,26972,4933,26374,34802,1923
2017,5,5981,162,29573,30745,50070,8953,49289,64376,3523
2017,6,9132,387,33467,38180,57787,10860,58279,76620,4189
2017,7,7286,962,23812,30541,40050,7768,42457,56369,3031
2017,8,5799,702,25596,29332,37535,7398,40744,53570,2928
2017,9,5331,1176,29214,34784,39778,8341,45216,60063,3290
2017,10,6311,1317,33652,39838,48862,10099,55420,72515,4046
2017,11,5884,1452,35159,41643,45833,10008,53536,70718,3873
2017,12,4921,936,32732,38487,44047,9105,49658,65364,3634
2017,13,4086,897,26326,34745,32214,7230,39634,52565,2853
2017,14,5565,1023,21960,28865,32542,6867,37173,48963,2669
2017,15,3409,408,14990,21846,24402,4847,26630,34698,1941
2018,1,2753,192,6271,4735,13279,2060,11210,14866,825
2018,2,2102,180,3489,3408,11039,1591,8547,11276,630
2018,3,5768,339,6911,8450,19293,3095,17226,22795,1264
2018,4,7058,474,17524,16200,27761,5357,28601,37741,2062
2018,5,11141,810,31435,32502,54337,10213,54351,71310,3902
2018,6,18031,1086,37737,40750,66326,12863,70634,93226,5033
2018,7,8803,1269,25157,31768,46230,8428,46287,61632,3344
2018,8,7966,1128,24150,29814,39057,7857,41879,55592,3031
2018,9,8950,1719,30515,33734,45601,9032,49315,65256,3522
2018,10,7621,1860,33527,41774,43886,9444,52085,69540,3849
2018,11,6837,1452,38115,40149,46782,9592,53194,70211,3867
2018,12,10011,1374,35284,38075,46140,9764,53232,70681,3839
2018,13,6751,913,28187,32603,34877,7557,41257,54342,2943
2018,14,5793,498,21947,28410,31144,6454,34676,46265,2542
2018,15,4064,258,15320,19085,20104,4262,23050,30146,1688
2019,1,6393,237,5948,8702,22375,3472,18741,24730,1385
2019,2,4311,81,3019,4257,10904,1831,9845,12913,700
2019,3,5341,126,5820,7581,13018,2534,13374,17700,992
2019,4,6645,63,13150,14826,29400,4763,25851,34236,1904
2019,5,10595,123,26572,31088,46986,9019,48275,64459,3584
2019,6,9056,318,36382,37988,49957,9962,55168,72800,3998
2019,7,9515,675,23978,33409,42583,8267,45493,60123,3377
2019,8,10134,858,24998,31157,41415,8107,45050,58944,3318
2019,9,10039,924,31360,34471,40425,8547,46665,61440,3449
2019,10,4004,909,29531,39514,41156,8538,45330,60344,3258
2019,11,12128,1455,39955,40569,48415,10785,59101,77783,4333
2019,12,10255,1542,37905,38230,44315,10147,53915,71288,3980
2019,13,8502,1083,33186,35090,34454,8432,45841,59693,3238
2019,14,6878,522,27192,30655,30775,7077,37957,49945,2733
2019,15,6089,363,20169,22832,22540,5189,28383,37747,2018
2020,1,1074,126,2016,2905,2665,430,2281,2987,161
2020,2,544,27,1346,1931,2843,311,1666,2205,122
2020,3,603,24,1416,1672,3537,334,1787,2373,133
2020,4,2168,93,4172,4208,9988,969,5251,6968,379
2020,5,4055,171,9325,7199,3537,1185,6327,8403,457
2020,6,2945,438,15316,8741,15619,1978,10795,14350,765
2020,7,1149,108,8953,6964,6805,1087,5849,7748,422
2020,8,941,127,4401,3407,7366,720,3997,5264,286
2020,9,834,98,3476,4837,7312,733,4059,5356,292
2020,10,0,9,1043,4869,3812,445,2366,3128,176
2020,11,0,0,0,0,0,0,0,0,0
2020,12,0,0,0,0,0,0,0,0,0
2020,13,0,0,0,0,0,0,0,0,0
2020,14,0,0,0,0,0,0,0,0,0
2020,15,0,0,0,0,0,0,0,0,0
2021,1,334,216,3992,8585,2198,830,4556,6003,323
2021,2,941,69,9086,13114,5269,1541,8255,10901,597
2021,3,2614,99,16742,24383,17995,3315,18301,24338,1307
2021,4,8833,315,28047,31297,39561,6070,32789,43413,2355
2021,5,11910,697,35270,36763,53339,8018,42107,55654,3029
2021,6,2430,103,13693,14100,26598,3099,17062,22523,1219
2021,7,3,0,6750,7500,7908,1186,6387,8333,468
2021,8,3274,468,18858,22133,31619,4115,22563,29825,1653
2021,9,1757,774,27982,9250,25906,3478,19180,25409,1388
2021,10,2392,834,16215,14152,16707,2706,14564,19460,1036
2021,11,1948,0,15773,16893,15200,2680,14342,18796,1046
2021,12,0,0,4200,10746,5401,1102,5792,7640,424
2021,13,0,15,4200,7505,3732,806,4411,5871,329
2021,14,176,33,5617,7698,176,742,3909,5192,286
2021,15,475,618,11309,5282,5975,1282,6774,8958,504
2022,1,8513,1038,16726,16216,27665,5144,28482,37439,2109
2022,2,6516,711,17273,11828,33328,5403,28805,38068,2110
2022,3,5609,426,17846,21374,36352,5887,32323,42997,2385
2022,4,10614,984,32710,31895,58192,9683,51793,68311,3705
2022,5,11092,1071,39827,36797,65372,10791,58950,77499,4232
2022,6,9082,660,34135,40770,49092,9436,50846,66744,3615
2022,7,8570,1158,34204,38308,49631,9266,50463,66904,3723
2022,8,7825,1032,32560,35915,50634,9018,48895,64587,3536
2022,9,7810,819,34634,39378,40367,8602,46293,60980,3441
2022,10,6587,1314,37253,41541,44242,9356,49363,65991,3634
2022,11,7939,1577,34672,44226,43874,9146,49801,65880,3603
2022,12,6782,975,33389,44959,44775,9077,49543,65716,3644
2022,13,4750,609,29398,35811,30766,6969,37838,49749,2794
2022,14,3009,357,21856,30281,21896,5298,28277,37395,2038
2022,15,2262,85,18981,26821,19427,4557,24771,32777,1829
2023,1,1218,54,5318,7332,10172,1591,8545,11226,605
2023,2,2458,82,8241,7029,12397,1932,10240,13577,741
2023,3,7129,422,18549,16737,23839,4120,21673,28654,1607
2023,4,17116,710,33179,29896,49596,8400,44587,59114,3258
2023,5,14690,678,34315,34384,58139,9149,49756,66365,3688
2023,6,9419,844,44648,39352,51039,8950,48555,63478,3573
2023,7,10343,589,35497,39492,46314,8106,44316,58267,3165
