Week,Mt. Baw Baw,Mt. Stirling,Mt. Hotham,Falls Creek,Mt. Buller,Selwyn,Thredbo,Perisher,Charlotte Pass
week1,1925,1764,2115,2459,1764,1421,1960,2500,3675
week2,1925,1764,2115,2459,1764,1421,1960,2500,3675
week3,1925,1764,2115,3443,1764,1421,1960,2500,4000
week4,1925,3500,2115,4919,3500,2600,3486,4000,4000
week5,2100,3500,3390,4919,3500,2600,3486,4000,4000
week6,2100,3500,3390,4919,3500,2600,3486,4000,4000
week7,2100,3500,3390,4919,3500,2600,3486,4000,4000
week9,2100,3500,3390,4919,3500,2600,3486,4000,4000
week10,2100,3500,3390,4919,3500,2600,3486,4000,4000
week11,2100,3500,3390,4919,3500,2600,3486,4000,4000
week12,2100,3500,3390,4919,3500,2600,3486,2500,4000
week13,1925,1764,3390,3443,1764,1421,1960,2500,3675
week14,1925,1764,2115,2459,1764,1421,1960,2500,3675
week15,1925,1764,2115,2459,1764,1421,1960,2500,3675
